brand,category,currency,image_url,name,price_egp,scraped_at,source,url
,,EGP,http://shamystores.com/cdn/shop/collections/xbox-gift-cards.jpg?v=1662575663,Xbox Gift Cards,599.0,2025-10-06T18:35:28.741339Z,shamystores.com,https://shamystores.com/collections/xbox-gift-cards
,,EGP,http://shamystores.com/cdn/shop/collections/ps5-games.webp?v=1722658136,PS5 Games,2590.0,2025-10-06T18:35:28.741343Z,shamystores.com,https://shamystores.com/collections/ps5-games
,,EGP,http://shamystores.com/cdn/shop/collections/ps5-consoles_86555b5b-5b46-420a-b338-6415a7cc310d.webp?v=1758934374,PS5 Consoles,33990.0,2025-10-06T18:35:28.741345Z,shamystores.com,https://shamystores.com/collections/ps5-consoles
,,EGP,http://shamystores.com/cdn/shop/collections/ps5-used-games.webp?v=1722658329,PS5 Used Games,1750.0,2025-10-06T18:35:28.741346Z,shamystores.com,https://shamystores.com/collections/ps5-used-games
,,EGP,http://shamystores.com/cdn/shop/products/ps5-dualsense-wireless-controller-534.jpg?v=1665083304,PS5 Accesssories,4290.0,2025-10-06T18:35:28.741347Z,shamystores.com,https://shamystores.com/collections/ps5-accesssories
,,EGP,http://shamystores.com/cdn/shop/collections/xbox-games.webp?v=1722658725,Xbox Games,740.0,2025-10-06T18:35:28.741349Z,shamystores.com,https://shamystores.com/collections/xbox-games
,,EGP,http://shamystores.com/cdn/shop/collections/xbox-consoles.jpg?v=1662575653,Xbox Consoles,23990.0,2025-10-06T18:35:28.741354Z,shamystores.com,https://shamystores.com/collections/xbox-one-consoles
,,EGP,http://shamystores.com/cdn/shop/collections/xbox-used-games.webp?v=1722658300,Xbox Used Games,450.0,2025-10-06T18:35:28.741355Z,shamystores.com,https://shamystores.com/collections/xbox-used-games
,,EGP,http://shamystores.com/cdn/shop/products/charging-stand-xbox-one-734.jpg?v=1665080740,XBOX One & Series Accessories,170.0,2025-10-06T18:35:28.741357Z,shamystores.com,https://shamystores.com/collections/xbox-one-series-accessories
,,EGP,http://shamystores.com/cdn/shop/files/psn-10-usa-824.jpg?v=1701199449,PSN 10$ USA,599.0,2025-10-06T18:35:28.741358Z,shamystores.com,https://shamystores.com/products/psn-10-usa-ep10usd
,,EGP,http://shamystores.com/cdn/shop/files/psn-25-usa-153.jpg?v=1701198617,PSN 25$ USA,1499.0,2025-10-06T18:35:28.741359Z,shamystores.com,https://shamystores.com/products/psn-25-usa-ep25usd
,,EGP,http://shamystores.com/cdn/shop/files/psn-50-usa-890.jpg?v=1701198671,PSN 50$ USA,2949.0,2025-10-06T18:35:28.741360Z,shamystores.com,https://shamystores.com/products/psn-50-usa-50050009058403
,,EGP,http://shamystores.com/cdn/shop/files/psn-100-usa.jpg?v=1757341569,PSN 100$ USA,5555.0,2025-10-06T18:35:28.741361Z,shamystores.com,https://shamystores.com/products/psn-100-usa-50050009058411
,,EGP,http://shamystores.com/cdn/shop/files/psn-75-usa.jpg?v=1757341580,PSN 75$ USA,4141.0,2025-10-06T18:35:28.741362Z,shamystores.com,https://shamystores.com/products/psn-75-usa-ep75usd
,,EGP,http://shamystores.com/cdn/shop/files/apple-itunes-100-usa-160.jpg?v=1750420868,Apple iTunes 100$ USA,5799.0,2025-10-06T18:35:28.741363Z,shamystores.com,https://shamystores.com/products/apple-itunes-100-usa
,,EGP,http://shamystores.com/cdn/shop/files/apple-itunes-50-usa-772.jpg?v=1750420834,Apple iTunes 50$ USA,2949.0,2025-10-06T18:35:28.741364Z,shamystores.com,https://shamystores.com/products/apple-itunes-50-usa
,,EGP,http://shamystores.com/cdn/shop/files/psn-10-uae-540.jpg?v=1701200227,PSN 10$ UAE,599.0,2025-10-06T18:35:28.741365Z,shamystores.com,https://shamystores.com/products/psn-10-uae-ep10uae
,,EGP,http://shamystores.com/cdn/shop/files/psn-50-uae-478.jpg?v=1701198663,PSN 50$ UAE,2949.0,2025-10-06T18:35:28.741366Z,shamystores.com,https://shamystores.com/products/psn-50-uae-50050009058402
,,EGP,http://shamystores.com/cdn/shop/files/psn-20-uae-208.jpg?v=1701198273,PSN 20$ UAE,1199.0,2025-10-06T18:35:28.741367Z,shamystores.com,https://shamystores.com/products/psn-20-uae-ep20uae
,,EGP,http://shamystores.com/cdn/shop/files/psn-100-uae.jpg?v=1757341456,PSN 100$ UAE,5555.0,2025-10-06T18:35:28.741368Z,shamystores.com,https://shamystores.com/products/psn-100-uae-50050009058420
,,EGP,http://shamystores.com/cdn/shop/files/psn-70-uae.jpg?v=1757342172,PSN 70$ UAE,3888.0,2025-10-06T18:35:28.741369Z,shamystores.com,https://shamystores.com/products/psn-70-uae-psn70uae
,,EGP,http://shamystores.com/cdn/shop/files/ea-sports-fc-26-ar-en-new-ps5-608.jpg?v=1758820578,EA Sports FC 26 (AR/EN) – New (PS5),3590.0,2025-10-06T18:35:28.741370Z,shamystores.com,https://shamystores.com/products/ea-sports-fc-26-ps5
,,EGP,http://shamystores.com/cdn/shop/files/ghost-of-yotei-ps5-617.jpg?v=1756406844,Ghost of Yōtei – PS5 NEW,3690.0,2025-10-06T18:35:28.741371Z,shamystores.com,https://shamystores.com/products/ghost-of-yotei-ps5
,,EGP,http://shamystores.com/cdn/shop/files/ea-sports-fc-26-ar-en-new-ps4-591.jpg?v=1758820567,EA Sports FC 26 (AR/EN) – New (PS4),3590.0,2025-10-06T18:35:28.741372Z,shamystores.com,https://shamystores.com/products/ea-sports-fc-26-ps4
